Company,Former / alternate names,Website,Brief Description,Company type,B2B/B2C,Protein category,Company focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State/Province (Non-U.S.),HQ City,Year founded,Founders,Company email,Parent company,Link to parent company's record,Link to subsidiary/brand,Articles in Marketing & Media,_merge,Cheese,Other dairy,Both cheese and other dairy,Neither cheese nor other dairy
leaf-expression-systems,,https://www.leafexpressionsystems.com/,UK-based protein production company - utilizing plants to produce proteins such as growth factors for cultivated meat and diary protein products.,Diversified,B2B,"Plant-based,Cultivated",Ingredients and inputs,"Bioprocess design,Cell line development,Crop development,Host strain development",[''],,,Europe,United Kingdom,,Norwich,2016,George Lomonossoff,,,,,,left_only,0,0,0,1
leafycoll-ltd,,www.leafycoll.com,Plant-based company using gene editing technology to produce collagen and food ingredients entirely inside the plants,Diversified,B2B,"Plant-based,Plant molecular farming",Ingredients and inputs,"Bioprocess design,Crop development",['Ingredients'],,Duckweed,Europe,United Kingdom,England ,Cambridge ,2023,"Saba RIAZ , Ejaz Hussain ",ejaz@leafycoll.co.uk,,,,,left_only,0,0,0,1
leggie,,https://ilike.org.es/,Plant-based company using carob to make meat,Specialized (focused on alternative proteins),"B2B,B2C",Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood']",,,Europe,Spain,Madrid,Móstoles,2020,Marta Miguel Castro y Marta Garcés Rimón,marta@ilike.org.es,iLike Food Innovation S.L.,,,,left_only,0,0,0,1
leniobio,,https://www.leniobio.com/,LenioBio produces ALiCE® – a eukaryotic protein expression platform able to produce any protein at scale. ALiCE® is a plant-based cell-free lysate derived from Nicotiana. ,Diversified,B2B,"Cultivated,Precision fermentation","Ingredients and inputs,Bioprocessing infrastructure and equipment","Cell culture media,Ingredient optimization",[''],,,Europe,Germany,Northrhine Westfalia,Düsseldorf,2016,Dr. Remberto Martis,info@leniobio.com,,,,,left_only,0,0,0,1
les-nouveaux-affineurs,,https://lesnouveauxaffineurs.com/,French producer plant-based cheese and spreads.,Specialized (focused on alternative proteins),"B2C,B2B",Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,"Cashew,Soy",Europe,France,,Paris,2017,,contact@lesnouveauxaffineurs.com,,,,1.0,both,1,0,0,0
les-petits-veganne,,https://petit-veganne.com/,French brand of cashew-based cheeses.,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,Cashew,Europe,France,Moselle,Sarralbe,2017,,contact@petit-veganne.com,,,,,left_only,1,0,0,0
lesaffre,,https://www.lesaffre.com/,Large global fermentation company with business lines in multiple areas.,Diversified,B2B,"Fermentation-derived,Plant-based",Ingredients and inputs,,[''],,,"Europe,Asia Pacific,Africa/Middle East,Australia/New Zealand,Latin America,United States and Canada",France,,,1853,,,,,,,left_only,0,0,0,1
levprot-bioscience,,https://levprot.com/,"Spanish Contract Development and Manufacturing Organisation making, among other products, growth factors for cultivated meat and soy leghemoglobin for plant-based meat through precision fermentation.",Diversified,B2B,Precision fermentation,"Contract manufacturing/processing,Ingredients and inputs","Bioprocess design,Ingredient optimization","['Ingredients', 'Other']",,,Europe,Spain,,"Calatayud, Zaragoza",2020,,,,,,,left_only,0,0,0,1
libre-foods,,https://www.librefoods.co/,"Spain-based company developing a platform of functional, fungi-based ingredients for the food industry.",Specialized (focused on alternative proteins),B2B,Biomass fermentation,"Meat,Ingredients and inputs","Bioprocess design,Ingredient optimization",['Ingredients'],,"Fungi,Mycelium",Europe,Spain,,Barcelona,2020,Alan Ramos,hello@librefoods.co,,,,,left_only,0,0,0,1
lidl,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
life-science-group,,www.lifesciencegroup.co.uk,"UK company offering contract media manufacture and development, as well as plant-based growth factors.",Specialized (focused on alternative proteins),B2B,"Cultivated,Plant-based",Contract manufacturing/processing,"Cell culture media,Ingredient optimization,Cell line development",[''],,,Europe,United Kingdom,,Sandy,2006,Jennifer Murray,,,,,,left_only,0,0,0,1
lightlife,,,,,,,,,[''],,,,,,,,,,,,,6.0,right_only,0,0,0,1
like,LikeMeat,https://likeyoulikeit.de/,Germany-based company that produces a variety of plant-based meat alternatives.,Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood']","Chicken,Beef/veal,Pork,Mutton/lamb",Soy,"Europe,Africa/Middle East",Germany,,Dusseldorf,2013,Timo Recker,info.de@thelivekindlyco.com,Livekindly Collective,LIVEKINDLY Collective,,,left_only,0,0,0,1
likemeat,,,,,,,,,[''],,,,,,,,,,,,,3.0,right_only,0,0,0,1
lima,,https://www.limafood.com/,"Belgian producer of healthier versions of common foods, including vegan milk, proteins, and snacks.",Diversified,"B2C,B2B",Plant-based,Dairy,,"['Milk', 'Other dairy']",,"Soy,Rice,Oat,Almond",Europe,Belgium,,Aalter,1957,,,,,,,left_only,0,1,0,0
lincoln-university,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
linda-mccartney,,https://lindamccartneyfoods.co.uk/,Maker of a variety of plant-based meats from soy.,Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Whole muscle meat/seafood']","Chicken,Pork,Mutton/lamb,Beef/veal",Soy,Europe,United Kingdom,West Yorkshire,Leeds,1991,Linda McCartney,,,,,,left_only,0,0,0,1
liquats-vegetals,,https://liquats.com/,First plant-based milk company in Spain,Specialized (focused on alternative proteins),"B2B,B2C",Plant-based,Dairy,End product formulation and manufacturing,['Milk'],,,Europe,Spain,Catalonia,Girona,1991,,liquats@liquats.com,,,,,left_only,0,0,0,1
livekindly,,,,,,,,,[''],,,,,,,,,,,,,3.0,right_only,0,0,0,1
lizza,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
loki-foods,,https://www.lokifoods.com/,Iceland-based company producing plant-based seafood products.,Specialized (focused on alternative proteins),B2B,Plant-based,Seafood,End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood']",Other fish,"Potato,Pea",Europe,Iceland,,Reykjavik,2022,Chris McClure and Björn V. Aðalbjörnsson,hello@lokifoods.com,,,,,left_only,0,0,0,1
lonza,,www.lonza.com,,Diversified,,Fermentation-derived,Contract manufacturing/processing,,[''],,,Europe,Switzerland,,,1897,,,,,,,left_only,0,0,0,1
lord-sugar,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
loryma,,https://crespeldeitersgroup.com/loryma/,"Loryma is a producer of wheat-based food ingredients and innovative extrudates. In 2023, developed a plant-based seafood alternative made from wheat. ",Diversified,B2B,Plant-based,"Seafood,Ingredients and inputs",End product formulation and manufacturing,['Whole muscle meat/seafood'],Tuna,Wheat,Europe,Germany,,Zwingenberg,1858,,,Crespel & Deiters GmbH & Co. KG,,,,left_only,0,0,0,1
loveraw,,,,,,,,,[''],,,,,,,,,,,,,2.0,right_only,0,0,0,1
lupinta,,https://www.lupinta.se/,"Lupin-based meat and chicken replacements, and tempeh",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,['Ground meat/seafood'],,Lupine,Europe,Sweden,,,2018,"Eslam Salah, Ilaria Di Meo, Oscar Manfred, Matilda Pernryd",info@lupinta.se,,,,,left_only,0,0,0,1
lurpak,,https://www.lurpak.com/en-gb/,"Danish butter brand, owned by dairy cooperative Arla Foods, which has launched a plant-based version of its spreadable butter.",Diversified,B2B,Plant-based,Dairy,End product formulation and manufacturing,['Other dairy'],,"Rapeseed,Coconut,Oat",Europe,Denmark,,,1901,,,,,,,left_only,0,1,0,0
lush,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
lush-cosmetics,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
luya,Luya Foods,https://luya.bio/en/,Switzerland-based company creating plant-based meat products.,Specialized (focused on alternative proteins),"B2C,B2B",Plant-based,Meat,End product formulation and manufacturing,['Other meat/seafood'],"Beef/veal,Chicken","Chickpea,Soy,Pea",Europe,Switzerland,,Bern,2021,"Flavio Hagenbuch, Michael Whyte, and Tobias Kistler",info@luya.bio,,,,,left_only,0,0,0,1
lyras,,www.lyras.com,"Non-thermal processing technology for sustainable microbial inactivation without harming enzymes, proteins, amino acids and vitamins.",Diversified,B2B,"Precision fermentation,Biomass fermentation,Fermentation-derived,Plant molecular farming",Food processing infrastructure and equipment,,[''],,,"Europe,United States and Canada",Denmark,,Aalborg,2017,Rasmus Mortensen,,,,,,left_only,0,0,0,1
maash,,https://maashcompany1.odoo.com/home,Eco-responsible food and feed protein ingredient producer using a fermentation technology.,Specialized (focused on alternative proteins),B2B,Biomass fermentation,"Meat,Ingredients and inputs","Bioprocess design,Ingredient optimization",['Ingredients'],,"Fungi,Mycoprotein",Europe,Belgium,,Anderlecht,2021,Gaspard Gilbert,info@maashcompany.com,,,,,left_only,0,0,0,1
macsween,,https://www.macsween.co.uk/us/,U.K.-based company producing plant-based lamb and conventional beef haggis. ,Diversified,B2C,Plant-based,Meat,End product formulation and manufacturing,['Ground meat/seafood'],Mutton/lamb,"Oat,Lentils",Europe,United Kingdom,,Edinburgh,1953,John Angus Macsween,contactus@macsween.co.uk,,,,,left_only,0,0,0,1
magda-roslinna,,https://magdaroslinna.pl/,Polish company that switched from producing dairy products to producing only plant-based yoghurts and desserts in 2020.,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Other dairy'],,Coconut,Europe,Poland,,Szaflary,1991,,biuro@magdaplantbased.com,,,,,left_only,0,1,0,0
magellan-life-sciences,,http://magellanlifesciences.com/,"UK-based synthetic biology company that discovers and develops plant-inspired proteins for food and beverage applications, including ""Brazzein"" protein sweetener.",Diversified,B2B,Plant-based,"Contract manufacturing/processing,Ingredients and inputs","Bioprocess design,Ingredient optimization",[''],,,Europe,United Kingdom,,London,2014,"Abhiram Dukkipati, Laxmi Wagle",contact@magellanlifesciences.com,,,,,left_only,0,0,0,1
maisha,"Maisha Deli, Maybels",https://maishadeli.com/ ,"Produces plant-based cheeses, butters and yogurts.",Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,"Almond,Coconut",Europe,Sweden,,Lund,2019,Anna Lundström,contact@maishadeli.com,,,,,left_only,1,0,0,0
mallakto,,https://mallakto.ru/,Russian vegan cooperative that produces soy products.,Specialized (focused on alternative proteins),B2C,Plant-based,"Dairy,Meat,Seafood,Eggs",End product formulation and manufacturing,"['Cheese', 'Eggs', 'Whole muscle meat/seafood', 'Other meat/seafood']","Chicken,Other shellfish","Soy,Chickpea,Wheat",Europe,Russia,,Moscow,2016,,chefirkin@gmail.com,,,,,left_only,1,0,0,0
maple-leaf-foods,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
marlow-ingredients,,https://www.marlowingredients.com/,UK-based cultivated mycoprotein producer.,Specialized (focused on alternative proteins),B2B,"Cultivated,Biomass fermentation","Meat,Dairy,Ingredients and inputs","Bioprocess design,Ingredient optimization",['Ingredients'],,Mycoprotein,Europe,United Kingdom,,,2023,,,Monde Nissin ,Monde Nissin,Quorn,,left_only,0,0,0,1
marrabio,,www.marrabio.co.uk,"UK-based company using engineered bacterial protein polymers to develop potent, multifunctional and ultra low cost growth factor mimics for industrial scale cell production.",Diversified,B2B,Cultivated,Ingredients and inputs,"Cell culture media,Ingredient optimization",[''],,,Europe,United Kingdom,,Newcastle upon Tyne,2022,"Jeremy Lakey, Helen Waller, and Daniel Peters",info@marrabio.com,,,,,left_only,0,0,0,1
martinorossi,,https://www.martinorossispa.it/,"Specializes in the production of cereals and legumes from conventional and organic farming, from controlled supply chains. All productions are free from gluten, soy and other allergens.",Diversified,B2B,Plant-based,"Ingredients and inputs,Meat,Dairy",Ingredient optimization,['Ingredients'],"Beef/veal,Chicken","Pea,Wheat","Europe,United States and Canada",Italy,Cremona,Cremona,1951,,info@martinorossispa.it,,,,,left_only,0,0,0,1
mati-foods,,https://www.matifoods.eu/,Estonia-based company producing meat products made from mycelium. ,Specialized (focused on alternative proteins),B2C,Biomass fermentation,Meat,End product formulation and manufacturing,['Whole muscle meat/seafood'],Chicken,"Mycoprotein,Potato",Europe,Estonia,,Tallinn,2021,Andrean Razumovski and Triin Remmelgas,info@matifoods.eu,,,,,left_only,0,0,0,1
matr-foods,,https://matrfoods.com/,"Danish company using fungi fermentation on a mix of Nordic organic vegetables, legumes and grains to create a new healthy plant ingredient.",Specialized (focused on alternative proteins),B2C,"Plant-based,Biomass fermentation",Meat,End product formulation and manufacturing,['Ground meat/seafood'],,"Oat,Pea,Potato,Lupine,Beetroot ,Fungi",Europe,Denmark,,Copenhagen,2021,Randi Wahlsten,,,,,,left_only,0,0,0,1
matterhorn-studio,,http://matterhorn.studio,Supporting alternative protein companies in their first step towards using machine learning for data-driven media and process optimisation,Diversified,"B2C,B2B","Plant-based,Cultivated,Fermentation-derived,Traditional fermentation,Biomass fermentation,Precision fermentation,Plant molecular farming","Bioprocessing infrastructure and equipment,Food processing infrastructure and equipment","Bioprocess design,Cell culture media,Ingredient optimization,Cell line development",[''],,,"Europe,United States and Canada",United Kingdom,,Oxford,2021,Jakob Zeitler,,CausalMinds,,,,left_only,0,0,0,1
matthew-kenney-cuisine,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
matthew-kenney-popup-restaurants,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
maxbien,,https://maxandbien.com/en/,Amsterdam-based company producing 100% plant-based cheeses.,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,"Potato,Tapioca,Yeast,Coconut",Europe,Netherlands,,Bodegraven,2018,Jobien Groen and Maxine Agyeman,info@maxandbien.amsterdam,,,,,left_only,1,0,0,0
mcdonalds,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
mcplant,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
me-at,,https://www.me-at.com/,Netherlands-based manufacturer of plant-based product lines.	,Specialized (focused on alternative proteins),"B2C,B2B",Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Whole muscle meat/seafood', 'Other meat/seafood']","Beef/veal,Chicken,Pork,Other fish,Tuna,Salmon","Soy,Wheat,Pea,Rice",Europe,Netherlands,,Leeuwarden,2020,,,Vion Food Group,,,,left_only,0,0,0,1
meat-the-mushroom-uk,,http://www.meatthemushroom.co.uk/,UK-based producer of mushroom bacon. ,Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,['Whole muscle meat/seafood'],,Mushrooms,Europe,United Kingdom,,Leeds,2021,,,,,,,left_only,0,0,0,1
meat-tomorrow,,https://www.meattomorrow.com/,Denmark-based startup that specializes in stem cell line development from livestock animals.,Specialized (focused on alternative proteins),B2C,Cultivated,Bioprocessing infrastructure and equipment,Cell line development,[''],Pork,,Europe,Denmark,,Copenhagen,2021,David Valbjørn and Matias Ankjær ,,,,,,left_only,0,0,0,1
meatable,,https://www.meatable.com,Denmark-based company producing cultivated meat products and pushing to bring cultivated meat to market by combining it with plant-based proteins. ,Specialized (focused on alternative proteins),B2B,Cultivated,Meat,"Cell line development,Bioprocess design","['Whole muscle meat/seafood', 'Ground meat/seafood', 'Other meat/seafood']",Pork,,Europe,Netherlands,,Leiden,2018,Krijn de Nood and Daan Luining,information@meatable.com,,,,,left_only,0,0,0,1
meati,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
meatless,,https://www.meatless.nl/,Texturized raw ingredients that can be used in plant-based meats. ,Specialized (focused on alternative proteins),B2B,Plant-based,Ingredients and inputs,Ingredient optimization,['Ingredients'],,"Rice,Fava bean,Quinoa,Wheat,Pea",Europe,Netherlands,,Mannheim,2005,Jos Hugense,info@meatless.nl,BENEO,Beneo,,,left_only,0,0,0,1
meatless-farm,,https://www.meatlessfarm.com/,"Produces plant-based meat products like fresh mince, burgers, and sausage",Specialized (focused on alternative proteins),"B2C,B2B",Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Whole muscle meat/seafood', 'Other meat/seafood']","Beef/veal,Pork,Chicken,Tuna","Soy,Rice,Coconut,Pea","United States and Canada,Europe",United Kingdom,,Leeds,2016,Morten Toft Bech,hello@meatlessfarm.com,,,,6.0,both,0,0,0,1
meatly,Good Dog Food,https://meatly.pet/,"UK-based start-up created cultivated pet food, for healthy pets and a healthy planet. ",Specialized (focused on alternative proteins),B2C,Cultivated,Pet food,End product formulation and manufacturing,[''],Chicken,,Europe,United Kingdom,,London,2022,,,JV partners include Agronomics and Roslin Technologies,,,,left_only,0,0,0,1
meatosys,,https://meatosys.com/,"Bio-tech startup focused on producing organic, cultivated meat derived from animal stem cells which are harvested from umbilical cords.  Collaborate with local farmers to use cells from farms themselves, and use renewable energy to power their growth pods. ",Specialized (focused on alternative proteins),B2B,"Cultivated,Blended","Meat,Bioprocessing infrastructure and equipment","Scaffolding and structure,Cell line development",[''],"Beef/veal,Pork,Chicken",,Europe,Germany,Hamburg,Hamburg,2022,"Lars Krüger Co-Founder and Managing Director, Dr. Alexander Heuer Co-Founder and Managing Director, Ignatz Schatz Co-Founder and Head of Operations and Consumers",contact@meatosys.com,,,,,left_only,0,0,0,1
mediterranea-bioveg,,https://mediterraneabio.it/,"Produces plant-based burgers, tofu, tempeh, and seitan",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,['Ground meat/seafood'],"Beef/veal,Chicken","Soy,Wheat",Europe,Italy,,Marostica ,1993,,,,,,,left_only,0,0,0,1
meeat,Meeat Food Tech,www.meeat.co,"Meeat is Finnish a new food industry company that was established in 2020 based on the “Muu” plant-based products launched by Pouttu. Most of their products are made of pea protein and fermented fava beans, as well as soy and wheat.",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,"['Whole muscle meat/seafood', 'Ground meat/seafood', 'Other meat/seafood']","Beef/veal,Chicken,Pork","Pea,Fava bean,Wheat",Europe,Finland,,Espoo,2020,Mikko Karell,info@meeat.co,,,,,left_only,0,0,0,1
meica,Meica Ammerländische Fleischwarenfabrik Fritz Meinen GmbH & Co. KG,https://www.meica.de/,German sausage maker that also offers vegetarian options. ,Diversified,B2C,Plant-based,Meat,End product formulation and manufacturing,['Ground meat/seafood'],Pork,Soy,Europe,Germany,Niedersachsen,Edewecht,1960, Fritz Meinen,meica@meica.de,,,,,left_only,0,0,0,1
meltmarble,,https://www.meltandmarble.com,Swedish company that produces animal fats using precision fermentation ,Specialized (focused on alternative proteins),B2B,Precision fermentation,Ingredients and inputs,Ingredient optimization,['Oils and fats'],,Yeast,Europe,Sweden,,Göteborg,2021,"Anastasia Krivoruchko, Florian David, Jans Nielsen",,,,,,left_only,0,0,0,1
memphis-meats,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
meravoglia-veganeria-napoletana,,https://www.facebook.com/meravoglia.veganerianapoletana/about?locale=it_IT,"Veganeria Napoletana is a vegan buthery, specialised in homemade traditional Napolitean dishes, revisited in their plant-based version.",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood']",,"Wheat,Soy,Pea",Europe,Italy,Naples,Pozzuoli,2022,, info@veganerianapoletana.it,,,,,left_only,0,0,0,1
mercedes,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
merck-kgaa,,https://www.merck.com/,Pharmaceutical company developing bioreactors for large-scale production of cultured meat.,Diversified,B2B,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,[''],,,"Europe,Asia Pacific,United States and Canada",Germany,,Darmstadt,1891,Friedrich Jacob Merck ,https://www.emdgroup.com/en/company/contact-us.html,,,,,left_only,0,0,0,1
mergulo,,https://www.mergulo.com/,"U.S. company that produces plant-based butter under the line ""CASHEW NUT-BUT*ERS""",Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Other dairy'],,"Coconut,Yeast,Cashew",Europe,United Kingdom,,Chadshunt,2018,Mairi Hilleary,mairi@mergulo.com,,,,,left_only,0,1,0,0
mes-petites-folies,,https://www.mespetitesfolies.com/,French producer of plant-based ice cream without added sugar or gluten. ,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Other dairy'],,"Almond,Oat",Europe,France,,Paris,2015,,,,,,,left_only,0,1,0,0
metarom-flavors-caramels,,https://www.metaromusa.com/ ,"Specializes in sweet and savory flavor solutions with an expertise in formulation flavors and masking agent for nutraceutical application, and in particular for protein based products.",Diversified,"B2C,B2B",Plant-based,Ingredients and inputs,Ingredient optimization,[''],,,"United States and Canada,Europe,Asia Pacific,Australia/New Zealand,Africa/Middle East,Latin America",France,,Boves,1953,Maurice Metayer,,Metarom Group,,,,left_only,0,0,0,1
mewery,,https://www.mewery.io/,"Czech Republic-based startup cultivating pork lab-grown meat on microalgae proprietary base.
",Specialized (focused on alternative proteins),B2B,Cultivated,Meat,"Cell culture media,Scaffolding and structure,Cell line development,End product formulation and manufacturing","['Whole muscle meat/seafood', 'Ground meat/seafood']",Pork,"Algae,Microalgae",Europe,Czech Republic,,Brno,2020,Roman Laus,hello@mewery.io,,,,,left_only,0,0,0,1
microharvest,,https://microharvest.com,Germany-based startup that produces bacterial single cell protein applicable throughout the whole value chain.,Specialized (focused on alternative proteins),B2B,Precision fermentation,Ingredients and inputs,"Bioprocess design,Feedstocks,End product formulation and manufacturing,Host strain development",[''],,,Europe,Germany,,Hamburg,2021,"Katelijne Bekers, Luisa Cruz, Jonathan Roberz",,,,,,left_only,0,0,0,1
microlub,,https://microlub.co.uk/,MicroLub develops novel proteins and fat alternatives. ,Specialized (focused on alternative proteins),,Plant-based,Ingredients and inputs,Target molecule selection,['Oils and fats'],,,Europe,United Kingdom,,,2023,David Peters,,,,,,left_only,0,0,0,1
mighty,Mighty Pea,https://www.mightydrinks.com/,UK-based company producing plant-based milk.,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Milk'],,"Pea,Oat,Coconut",Europe,United Kingdom,,Leeds,2018,Tom and Nick Watkins,info@mightydrinks.com,,,,,left_only,0,0,0,1
migros,,https://www.migros.ch/en,"Switzerland-based large retail company, online supermarket, and food producer offering plant-based meat- and dairy alternatives and tofu, many of which are under the brand ""V-Love"".",Diversified,B2C,Plant-based,"Eggs,Dairy,Meat,Seafood",End product formulation and manufacturing,"['Eggs', 'Ground meat/seafood', 'Other meat/seafood', 'Other dairy', 'Milk']",,"Soy,Wheat,Oat,Pea,Corn,Almond,Lupine,Coconut,Rice,Hazelnut,Quinoa",Europe,Switzerland,, Zurich,1925,Gottlieb Duttweiler,,,,V-Love,,left_only,0,1,0,0
million-dollar-vegan,,,,,,,,,[''],,,,,,,,,,,,,2.0,right_only,0,0,0,1
millow,,https://millow.co/,Sweden-based company that produces Mycelium-based food,Specialized (focused on alternative proteins),"B2C,B2B",Biomass fermentation,"Ingredients and inputs,Meat","Bioprocess design,Ingredient optimization","['Other meat/seafood', 'Ground meat/seafood', 'Ingredients', 'Oils and fats']",Beef/veal,Mycelium,Europe,Sweden,,Gothenburg,2022,Esmaeil Taherzadeh,hello@millow.co,,,,,left_only,0,0,0,1
mimic-seafood,,https://mimicseafood.com/,Spanish company making tuna and other seafood alternatives from tomatoes.,Specialized (focused on alternative proteins),B2C,Plant-based,Seafood,End product formulation and manufacturing,"['Other meat/seafood', 'Whole muscle meat/seafood']","Tuna,Other fish,Salmon","Agar agar,Algae,Eggplant",Europe,Spain,,Madrid,2019,Ida Speyer and Silvia Moreno,saveoceans@mimicseafood.com,,,,,left_only,0,0,0,1
mimix-biotherapeutics,,https://www.mimixbio.com/,Switzerland-based biofabriation company that provides an acoustic bioprinting technology to create three-dimensional cellular constructs/cell-loaded scaffolds,Diversified,B2B,Cultivated,Bioprocessing infrastructure and equipment,Scaffolding and structure,[''],,,Europe,Switzerland,,Neuchâtel,2019,"Thurner Marc, Tiziano Serra",info@mimixbio.com,,,,,left_only,0,0,0,1
ministry-of-mylk,,,,,,,,,[''],,,,,,,,,,,,,2.0,right_only,0,0,0,1
minor-figures,,https://minorfigures.com/,UK-based producer of barista brews and milks made from oats. ,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Milk'],,Oat,"Europe,United States and Canada",United Kingdom,,London,2014,"Stuart Forsyth, Will Rixon, and Jonathan Chiu",info@minorfigures.com,,,,,left_only,0,0,0,1
mirai-foods,AlphaMeats,https://www.miraifoods.com/,Switzerland-based company producing cultivated meat products.,Specialized (focused on alternative proteins),B2C,Cultivated,"Meat,Ingredients and inputs,Bioprocessing infrastructure and equipment","End product formulation and manufacturing,Cell culture media,Bioprocess design,Scaffolding and structure,Cell line development,Ingredient optimization",['Whole muscle meat/seafood'],Beef/veal,,Europe,Switzerland,Zurich,Wädenswil,2019,Christoph Mayr and Suman Kumar Das,hello@miraifoods.com,,,,,left_only,0,0,0,1
miyokos-creamery,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
mk2-biotechnologies,mk2 Biotechnologies,https://www.protevo.bio/,"mk2 develops chromatography-free purification processes for recombinant peptides & proteins, amongst others for growth factors.",Diversified,"B2C,B2B",Precision fermentation,"Meat,Ingredients and inputs,Dairy,Seafood,Contract manufacturing/processing","Ingredient optimization,Bioprocess design",['Ingredients'],,,Europe,Germany,,Planegg,2020,"Dr. Sebastian Mangold, Dr. Konstantinos Antonopoulos, Dr. Marco Giuman",,,,,,left_only,0,0,0,1
mo-foods,,https://www.mofoods.fi/,Finnish oat-based cheese startup.,Specialized (focused on alternative proteins),B2B,Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,Oat,Europe,Finland,,Lohtaja,2017,Annamari Jukkola and Marjaana Jukkola,info@mofoods.fi,,,,,left_only,1,0,0,0
moa-foodtech,,https://www.moafoodtech.com/,"Spanish company that produces a high-value protein by transforming food waste and by-products, through a fermentation process optimized by AI",Specialized (focused on alternative proteins),"B2C,B2B",Biomass fermentation,Ingredients and inputs,"Bioprocess design,Ingredient optimization",[''],,Yeast,Europe,Spain,,Madrid,2020,"Bosco Emparanza, Susana Sánchez, José María Elorza",info@moafoodtech.com,MOA,,,,left_only,0,0,0,1
mock,,https://mock.co.uk/,"UK-based producer of chef-quality, whole-cut, plant-based meat products for food service operators. ",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,['Whole muscle meat/seafood'],"Mutton/lamb,Chicken",,Europe,United Kingdom,,London,2016,Harpreet Gill,hello@mock.co.uk,,,,,left_only,0,0,0,1
molt,,https://molt.fi/,Finnish plant-based cheese company.,Specialized (focused on alternative proteins),B2B,Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,Sunflower,Europe,Finland,,,2022,,hello@molt.fi,,,,,left_only,1,0,0,0
mommus,,https://mommus.com/,Spain-based company producing plant-based cheeses,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,Cashew,Europe,Spain,,,2017,,,,,,,left_only,1,0,0,0
mondarella,,https://mondarella.eu/,German producer of high nutritional value craft cheese made from plants. ,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,"Almond,Potato",Europe,Germany,,Berlin,2021,"Piero Brunetti, Frank Riedel, and Johannes Matthias",info@mondarella.eu,,,,,left_only,1,0,0,0
